VIAL,SAMPLE,SITE,PLOT,TREAT,CORNER,ORG_MIN,COARSE_FINE,DEPTH,DIVID,BAG,VIAL_WEIGHT,NOTES
885,35_3NE_O,,35_3,3,NE,O,,,N,NA,11.92,
886,19_2SW_O,,19_2,2,SW,O,,,N,NA,7.08,
887,54_3NW_O,,54_3,3,NW,O,,,N,74,9.2,
888,25_3NE_O,,25_3,3,NE,O,,,N,NA,13.16,
889,17_3NE_O,,17_3,3,NE,O,,,N,NA,7.45,
890,34_2SE_O,,34_2,2,SE,O,,,N,NA,9.1,
891,41_1C_O,,41_1,1,C,O,,,N,NA,11.78,
892,41_1SW_O,,41_1,1,SW,O,,,N,NA,6.84,
893,28_1NE_MF,,28_1,1,NE,M,F,,Y,152,20.37,
894,28_1NE_MC,,28_1,1,NE,M,C,,Y,152,17.54,
895,47_2C_MC,,47_2,2,C,M,C,10_15,Y,69,0.18,
896,56_2SE_MC,,56_2,2,SE,M,C,5_10,Y,34,0.23,ACTUALLY 5_7
897,37_3SE_MC,,37_3,3,SE,M,C,5_10,Y,53,0.52,
898,57_2NW_MC,,57_2,2,NW,M,C,10_15,Y,47,0.47,ACTUALLY 10_12
899,57_2C_MC,,57_2,2,C,M,C,10_15,Y,39,0.14,
900,37_3NE_MC,,37_3,3,NE,M,C,5_10,Y,103,0,
901,37_3NW_MC,,37_3,3,NW,M,C,5_10,Y,21,0.93,REPLACEMENT BAG
902,12_1NE_MC,,12_1,1,NE,M,C,5_10,Y,52,2.15,
903,50_1NE_MC,,50_1,1,NE,M,C,10_15,Y,9,0.42,
904,56_2NW_MC,,56_2,2,NW,M,C,10_15,Y,67,0.4,
905,47_2C_MC,,47_2,2,C,M,C,0_5,Y,90,0.3,
906,56_2SW_MC,,56_2,2,SW,M,C,0_5,Y,23,0.22,
907,15_3SE_MC,,15_3,3,SE,M,C,10_15,Y,109,1.89,
908,50_1C_MC,,50_1,1,C,M,C,10_15,Y,96,2.21,
909,56_2NE_MC,,56_2,2,NE,M,C,5_10,Y,43,0.29,-2
910,37_3C_MC,,37_3,3,C,M,C,10_15,Y,22,0.6,
911,58_0C_MF,,58_0,0,C,M,F,5_10,Y,159,17.47,
912,58_0C_MC,,58_0,0,C,M,C,5_10,Y,159,12.61,
913,58_0NW_MC,,58_0,0,NW,M,C,5_10,Y,54,0.68,
914,47_2NE_MC,,47_2,2,NE,M,C,0_5,Y,72,0.53,LOTS OF WOOD
915,14_3SW_MC,,14_3,3,SW,M,C,,Y,109,0.7,
916,47_2NW_MC,,47_2,2,NW,M,C,0_5,Y,26,0.12,ALL TWIG
917,10_0SE_MF,,10_0,0,SE,M,F,10_15,Y,44,24.83,
918,12_1SE_MF,,12_1,1,SE,M,F,0_5,Y,15,17.25,
919,12_1SE_MC,,12_1,1,SE,M,C,0_5,Y,15,3.15,
920,48_1NE_MC,,48_1,1,NE,M,C,,Y,134,17.01,
921,48_1NE_MF,,48_1,1,NE,M,F,,Y,134,18.76,
922,40_2SW_MF,,40_2,2,SW,M,F,,Y,149,18.76,
923,58_0NE_MF,,58_0,0,NE,M,F,10_15,Y,45,20.8,
924,58_0NE_MF,,58_0,0,NE,M,C,10_15,Y,45,18.49,
925,40_2SW_MC,,40_2,2,SW,M,C,,Y,149,21.05,
926,10_0SE_MC,,10_0,0,SE,M,C,10_15,Y,44,17.21,
927,41_1NW_MC,,41_1,1,NW,M,C,,Y,91,18.4,
928,58_0SE_MF,,58_0,0,SE,M,F,0_5,Y,48,17.18,
929,10_0NE_MC,,10_0,0,NE,M,C,5_10,Y,72,21.37,
930,58_0SE_MC,,58_0,0,SE,M,C,0_5,Y,48,14.89,
931,10_0NE_MC,,10_0,0,NE,M,C,5_10,Y,72,21.12,
932,58_0SW_MF,,58_0,0,SW,M,F,10_15,Y,40,24,
933,41_1NW_MF,,41_1,1,NW,M,F,,Y,91,16.36,
934,58_0SW_MF,,58_0,0,SW,M,C,10_15,Y,40,16.8,
935,50_1NE_MF,,50_1,1,NE,M,F,0_5,Y,93,10.46,
936,11_0SE_MC,,11_0,0,SE,M,C,5_10,Y,141,14.98,
937,58_0SW_MC,,58_0,0,SW,M,C,0_5,Y,76,12.05,
938,10_0SE_MC,,10_0,0,SE,M,C,5_10,Y,51,17.9,
939,23_3NE_MC,,23_3,3,NE,M,C,,Y,44,23.47,
940,10_0SE_MF,,10_0,0,SE,M,F,5_10,Y,51,18.38,
941,58_0C_MF,,58_0,0,C,M,F,10_15,Y,143,13.08,
942,58_0SW_MF,,58_0,0,SW,M,F,0_5,Y,76,17.05,
943,10_0SE_MC,,10_0,0,SE,M,C,0_5,Y,100,6.75,
944,10_0SE_MF,,10_0,0,SE,M,F,0_5,Y,100,16.75,
945,23_3NE_MF,,23_3,3,NE,M,F,,Y,44,14.58,
946,11_0SE_MF,,11_0,0,SE,M,F,5_10,Y,141,23.65,
947,58_0C_MC,,58_0,0,C,M,C,10_15,Y,143,8.11,
