"SITE","TREAT","PLOT","TAB","veg_weight_gm2","Type","Carbon_m2"
"STEESE",0,"31_0",3313.85865389377,16,"Understory",211.995656230822
"STEESE",0,"31_0",3313.85865389377,16,"CWD",0.4660344866
"STEESE",0,"31_0",3313.85865389377,16,"Soil",2365.33269833281
"STEESE",0,"31_0",3313.85865389377,16,"totalC",5679.19135222659
"STEESE",0,"6_0",7501.55670071967,16,"Overstory",7088.10659022704
"STEESE",0,"6_0",7501.55670071967,16,"Understory",397.251995405732
"STEESE",0,"6_0",7501.55670071967,16,"CWD",0.1981150869
"STEESE",0,"6_0",7501.55670071967,16,"Soil",1001.36209284324
"STEESE",0,"6_0",7501.55670071967,16,"totalC",8502.91879356291
"STEESE",0,"9_0",6294.77614659665,16,"Overstory",5938.00148730997
"STEESE",0,"9_0",6294.77614659665,16,"Understory",340.530125224576
"STEESE",0,"9_0",6294.77614659665,16,"CWD",0.2445340621
"STEESE",0,"9_0",6294.77614659665,16,"Soil",2448.85139790834
"STEESE",0,"9_0",6294.77614659665,16,"totalC",8743.62754450498
"STEESE",1,"18_1",2085.37737795873,52,"Overstory",1956.78165287161
"STEESE",1,"18_1",2085.37737795873,52,"Understory",75.9721293178157
"STEESE",1,"18_1",2085.37737795873,52,"CWD",0.6235957693
"STEESE",1,"18_1",2085.37737795873,52,"Soil",401.499645338771
"STEESE",1,"18_1",2085.37737795873,52,"totalC",2486.8770232975
"STEESE",1,"18_1",2078.37737795873,45,"Overstory",1956.78165287161
"STEESE",1,"18_1",2078.37737795873,45,"Understory",75.9721293178157
"STEESE",1,"18_1",2078.37737795873,45,"CWD",0.6235957693
"STEESE",1,"18_1",2078.37737795873,45,"Soil",401.499645338771
"STEESE",1,"18_1",2078.37737795873,45,"totalC",2479.8770232975
"STEESE",1,"18_1",2116.87737795873,83.5,"Overstory",1956.78165287161
"STEESE",1,"18_1",2116.87737795873,83.5,"Understory",75.9721293178157
"STEESE",1,"18_1",2116.87737795873,83.5,"CWD",0.6235957693
"STEESE",1,"18_1",2116.87737795873,83.5,"Soil",401.499645338771
"STEESE",1,"18_1",2116.87737795873,83.5,"totalC",2518.3770232975
"STEESE",1,"18_1",2112.37737795873,79,"Overstory",1956.78165287161
"STEESE",1,"18_1",2112.37737795873,79,"Understory",75.9721293178157
"STEESE",1,"18_1",2112.37737795873,79,"CWD",0.6235957693
"STEESE",1,"18_1",2112.37737795873,79,"Soil",401.499645338771
